"Daily Weather Observations for Brisbane Airport, Queensland for January 2022"
"Prepared at 16:01 UTC on Wednesday 16 March 2022   IDCJDW4020.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,20.6,25.6,8.0,,0.3,E,33,10:14,22.7,89,8,SSE,13,1011.7,21.5,93,8,SSW,11,1009.9
,2022-01-2,19.0,27.9,13.6,,7.8,SE,46,12:34,25.4,67,7,S,17,1007.8,26.4,64,7,SSE,15,1005.0
,2022-01-3,19.4,29.7,0.2,,10.1,SSW,52,16:34,26.0,60,5,SW,31,1002.8,29.6,50,7,SSW,26,1001.0
,2022-01-4,22.3,30.9,0,,8.6,SW,48,07:02,27.0,61,7,SW,31,1002.0,28.4,71,6,S,11,1001.4
,2022-01-5,22.6,29.1,1.2,,9.3,S,39,09:35,27.1,77,6,S,17,1005.1,26.8,77,4,SSE,20,1004.0
,2022-01-6,23.3,28.7,5.4,,5.0,SE,41,11:16,27.4,76,7,SE,19,1009.5,26.9,78,7,SE,22,1009.0
,2022-01-7,24.0,27.5,2.4,,0.6,E,44,09:53,26.8,83,8,E,20,1012.0,25.2,88,8,E,20,1010.9
,2022-01-8,23.6,26.9,8.2,,0.0,NE,35,03:01,25.1,87,8,ENE,9,1012.2,26.2,83,8,NE,13,1010.9
,2022-01-9,23.7,29.2,0,,7.4,ENE,31,14:07,26.6,81,7,ENE,13,1014.0,28.2,69,3,ENE,20,1012.6
,2022-01-10,21.7,28.6,0.4,,12.9,ESE,35,12:31,27.2,67,2,SE,13,1017.8,27.8,61,1,ESE,17,1016.8
,2022-01-11,22.1,28.2,7.0,,11.5,ESE,39,11:54,26.1,68,7,ESE,17,1018.2,27.6,61,1,ESE,20,1016.5
,2022-01-12,19.5,28.4,0.6,,,ESE,37,14:15,23.9,78,7,SSW,7,1017.1,27.5,54,1,ESE,24,1014.3
,2022-01-13,20.2,28.8,2.6,,,ESE,35,11:36,26.5,61,5,ESE,19,1015.8,27.4,52,1,SE,17,1013.1
,2022-01-14,18.4,28.8,0,,10.9,ENE,31,12:41,27.2,62,6,SE,9,1012.3,27.5,60,5,ENE,22,1009.7
,2022-01-15,20.6,28.8,0,,13.0,N,39,22:05,27.0,62,2,NE,13,1009.9,27.8,63,1,NNE,22,1007.5
,2022-01-16,21.7,29.5,3.4,,,SW,44,02:30,26.4,65,7,NW,15,1008.9,27.6,68,5,NE,22,1006.6
,2022-01-17,23.4,31.3,0,,,NE,35,13:16,28.5,64,1,N,11,1011.1,29.3,64,6,ENE,19,1009.1
,2022-01-18,23.5,29.8,0,,,NNE,31,12:08,28.0,73,7,NE,15,1012.4,28.2,65,7,NE,22,1009.7
,2022-01-19,23.7,30.5,0,,10.2,SSE,33,21:09,28.6,64,6,ENE,11,1012.3,29.3,63,3,ENE,19,1010.4
,2022-01-20,21.4,26.9,8.4,,0.0,SSE,44,14:57,23.0,91,8,ESE,13,1015.9,23.4,88,8,SE,22,1016.2
,2022-01-21,21.0,27.5,14.4,,,SSE,50,08:18,25.4,60,7,SE,28,1020.6,25.7,58,6,SE,24,1019.7
,2022-01-22,19.0,27.2,1.0,,,SE,41,11:01,22.7,77,7,SSW,17,1018.1,25.9,59,7,SE,19,1015.7
,2022-01-23,18.3,27.5,0,,10.2,SE,33,15:30,24.7,64,5,SSE,15,1014.2,26.0,61,5,SE,19,1011.6
,2022-01-24,18.6,27.7,0,,10.4,SE,31,15:43,26.3,57,7,SSW,13,1012.4,27.0,62,7,ESE,15,1009.0
,2022-01-25,21.5,29.3,0,,6.7,NE,26,11:53,27.2,60,5,E,7,1011.5,27.2,65,7,ENE,15,1008.7
,2022-01-26,22.8,26.1,15.0,,0.0,ESE,28,10:59,24.3,88,8,SE,11,1012.0,24.3,88,8,ENE,17,1010.9
,2022-01-27,22.0,27.8,5.4,,2.6,SE,35,17:37,25.6,65,7,S,13,1014.8,26.0,65,8,SE,17,1012.8
,2022-01-28,21.4,29.4,1.4,,10.6,ESE,39,06:27,26.7,71,7,E,17,1015.4,28.6,56,3,ESE,19,1013.4
,2022-01-29,21.5,29.5,3.6,,9.2,SE,39,15:50,26.7,72,4,SE,13,1014.8,29.1,64,5,ESE,17,1011.9
,2022-01-30,20.5,30.1,0,,11.5,SE,41,13:02,28.3,68,5,SE,15,1012.2,27.9,72,7,SE,20,1009.9
,2022-01-31,22.5,30.7,0,,11.9,ENE,30,17:00,27.8,64,6,SSW,15,1008.8,29.8,62,1,ENE,15,1005.5