"Daily Weather Observations for Cairns, Queensland for January 2022"
"Prepared at 13:01 UTC on Wednesday  4 May 2022   IDCJDW4024.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,22.5,32.9,0.6,,,N,28,10:33,30.4,62,,WNW,15,1008.2,29.7,73,8,N,11,1005.8
,2022-01-2,23.9,35.1,0,,,NNE,26,11:06,32.7,56,,SE,6,1007.4,31.7,69,3,NNE,13,1003.6
,2022-01-3,23.9,34.7,15.0,,,SSE,56,19:52,25.7,88,7, ,Calm,1006.3,30.6,74,,N,15,1001.4
,2022-01-4,24.2,36.9,0.2,,,NNE,28,12:41,30.6,65,8,SE,7,1005.1,31.8,72,7,NNE,6,1002.4
,2022-01-5,25.2,38.3,0,,,N,30,13:27,33.1,49,7,ESE,6,1004.1,32.8,67,,N,13,1001.2
,2022-01-6,25.6,37.1,0,,,W,33,11:28,33.1,52,6, ,Calm,1005.3,32.4,71,,N,15,1003.0
,2022-01-7,25.7,34.0,0,,,S,31,06:41,32.1,52,5,SW,2,1006.5,31.6,65,1,N,13,1004.7
,2022-01-8,25.4,32.4,0,,,NNE,26,12:53,30.6,74,3,NNE,11,1006.8,31.5,72,1,NNE,11,1004.7
,2022-01-9,24.8,32.1,0,,,ESE,43,22:21,30.6,66,1,SSE,9,1008.4,29.8,72,4,ENE,17,1006.4
,2022-01-10,24.3,31.2,40.8,,,SSE,44,07:32,25.3,88,8,SSE,13,1010.1,28.5,80,8,ESE,15,1007.9
,2022-01-11,24.2,29.4,67.2,,,S,33,04:52,26.7,86,8,S,19,1010.9,25.3,91,8,W,4,1009.4
,2022-01-12,23.4,29.5,39.6,,,S,35,08:20,25.9,90,8,S,17,1011.0,26.7,90,8,SSE,13,1008.9
,2022-01-13,23.0,32.4,3.6,,,SSE,31,16:55,27.9,73,,SSE,7,1011.3,30.8,57,2,SE,20,1007.2
,2022-01-14,22.3,31.6,0,,,NNE,26,14:03,27.5,71,,WNW,2,1009.5,31.1,62,2,NNE,15,1006.7
,2022-01-15,23.4,31.9,0,,,ENE,22,12:43,29.9,64,,ENE,4,1009.1,30.6,65,,NE,13,1006.5
,2022-01-16,23.9,31.8,0,,,N,30,12:53,30.1,72,1,WNW,6,1009.0,29.7,73,1,NNE,13,1005.7
,2022-01-17,24.3,32.7,0,,,N,26,13:24,29.7,74,,SSE,4,1007.9,31.1,68,,NNE,20,1004.9
,2022-01-18,25.0,32.1,0,,,NE,24,14:59,30.1,72,4,ESE,7,1008.9,31.0,66,,NNE,17,1005.4
,2022-01-19,24.4,33.3,0,,,ESE,43,10:19,30.0,68,1,SSE,11,1007.7,32.4,57,,ESE,19,1005.6
,2022-01-20,25.2,34.0,1.6,,,SE,41,12:03,30.6,67,7,SSE,19,1007.8,31.8,56,6,SE,22,1006.1
,2022-01-21,24.0,30.8,8.2,,,SSE,46,14:28,27.8,79,8,S,15,1009.6,25.4,93,8,SSE,20,1008.0
,2022-01-22,23.4,28.2,45.4,,,SSE,39,01:35,26.1,86,8,S,15,1010.6,25.0,87,7,S,13,1008.5
,2022-01-23,23.6,31.5,20.0,,,S,35,00:59,24.9,88,8,S,13,1010.7,30.3,57,8,ESE,20,1007.2
,2022-01-24,23.9,31.3,0,,,S,24,00:48,28.3,72,,SSE,11,1009.0,30.3,62,1,ENE,17,1006.1
,2022-01-25,24.0,31.5,0.2,,,N,35,12:01,29.3,70,6,SSE,7,1008.5,29.6,71,1,N,7,1005.3
,2022-01-26,25.3,31.7,1.4,,,WNW,35,18:45,27.8,86,8, ,Calm,1009.0,30.3,72,,N,11,1004.9
,2022-01-27,24.7,31.6,45.0,,,NW,30,02:32,27.5,81,8,S,2,1008.4,30.9,67,1,NNE,13,1004.5
,2022-01-28,24.8,30.7,4.2,,,S,39,22:38,28.0,81,8,SSE,7,1007.8,25.8,93,8,W,2,1005.0
,2022-01-29,23.1,31.6,76.4,,,S,41,02:41,27.0,82,8,SSE,9,1007.3,29.5,65,8,SSE,17,1005.2
,2022-01-30,23.6,30.7,4.4,,,SSE,35,15:14,27.9,77,1,S,13,1007.4,29.8,69,5,SSE,22,1004.3
,2022-01-31,23.5,31.7,1.2,,,N,22,14:30,29.4,70,,E,4,1007.0,31.0,63,,NNE,9,1003.6