"Daily Weather Observations for Brisbane Airport, Queensland for June 2021"
"Prepared at 13:01 UTC on Wednesday  9 March 2022   IDCJDW4020.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,10.8,23.3,0,,8.4,SW,31,09:45,16.8,69,1,SW,20,1024.8,20.7,61,5,E,11,1021.8
,2021-06-2,12.2,22.6,0,,6.2,SSW,20,06:06,17.9,77,6,SSW,15,1023.2,21.3,59,7,NE,11,1019.5
,2021-06-3,14.2,21.4,0,,1.3,N,31,20:13,18.5,80,7,WSW,9,1018.5,18.0,87,8,SSW,6,1013.7
,2021-06-4,12.2,21.7,8.6,,10.0,WSW,46,16:50,18.5,65,1,W,20,1014.1,21.2,48,2,W,31,1011.5
,2021-06-5,9.7,21.6,0,,10.0,WSW,33,09:19,16.8,57,0,SW,24,1019.6,21.0,37,1,S,13,1018.4
,2021-06-6,7.5,21.4,0,,10.0,SW,28,07:12,14.5,70,1,SW,17,1024.2,20.5,42,1,ESE,9,1021.0
,2021-06-7,9.3,21.1,0,,9.9,SW,30,08:56,15.1,67,5,SW,22,1024.8,20.4,58,1,ESE,13,1021.6
,2021-06-8,9.8,20.0,0.2,,3.9,NNE,33,18:11,15.2,82,5,SW,9,1020.3,18.7,74,7,ENE,17,1014.6
,2021-06-9,13.9,18.2,1.2,,4.9,W,67,13:59,14.6,80,7,W,24,1010.9,17.4,37,2,W,39,1009.6
,2021-06-10,5.5,17.6,0,,9.9,N,35,12:43,12.9,56,1,NNW,17,1014.8,16.5,48,1,NNE,24,1010.4
,2021-06-11,6.4,19.0,0,,8.6,WNW,33,09:36,15.2,45,7,WNW,15,1018.0,16.7,56,7,NNE,19,1016.1
,2021-06-12,6.2,21.3,0,,9.8,NNE,24,12:21,13.7,75,1,SW,6,1021.5,19.7,53,1,NNE,17,1017.3
,2021-06-13,6.7,22.3,0,,9.8,WSW,31,12:28,14.5,67,6,NNW,7,1019.7,21.9,38,1,W,20,1015.1
,2021-06-14,6.9,21.3,0,,8.8,SSW,26,08:13,13.0,78,4,SSW,15,1017.0,20.5,42,1,ENE,11,1014.5
,2021-06-15,10.5,20.9,0,,4.7,SW,46,09:31,16.8,69,7,SW,19,1017.6,20.7,63,5,SSW,7,1014.7
,2021-06-16,10.8,22.7,7.0,,6.9,SSW,22,06:52,12.7,98,8,SSW,11,1019.6,21.5,53,6,NNE,11,1015.8
,2021-06-17,12.5,23.9,0,,9.8,W,50,12:56,21.2,67,1,WNW,20,1015.2,23.0,29,0,W,39,1011.8
,2021-06-18,9.0,21.3,0,,9.8,W,56,14:58,17.1,46,6,WNW,7,1014.2,19.1,36,2,WSW,39,1010.1
,2021-06-19,10.9,19.4,0,,9.8,W,57,18:44,14.8,56,1,WSW,43,1014.2,18.4,45,1,WSW,35,1012.3
,2021-06-20,7.5,22.2,0,,8.8,SW,37,09:55,16.6,58,1,SW,17,1017.3,21.5,48,5,S,13,1016.3
,2021-06-21,9.1,21.8,0,,9.5,SW,33,09:34,15.9,64,0,SSW,22,1022.3,20.3,58,1,ESE,13,1020.2
,2021-06-22,10.0,21.2,0,,8.8,SE,37,14:21,16.1,73,1,SW,19,1028.4,20.4,54,2,SE,17,1025.8
,2021-06-23,12.2,21.7,0.4,,5.6,NE,39,18:03,16.5,87,7,SSW,11,1028.5,20.5,66,7,NE,9,1024.4
,2021-06-24,15.0,23.5,1.0,,4.3,N,26,22:18,17.1,90,8,SW,11,1023.3,20.6,70,8,N,13,1019.4
,2021-06-25,16.5,19.0,4.2,,0.0,NNE,37,21:55,18.1,93,8,WNW,7,1020.3,18.3,94,8,NNW,13,1018.8
,2021-06-26,15.6,17.5,4.2,,0.0,SW,33,11:16,16.0,80,8,W,17,1021.5,17.3,65,8,WSW,13,1020.3
,2021-06-27,10.4,21.1,0,,8.3,SW,33,09:28,12.7,66,5,SW,17,1025.5,20.1,49,1,SE,17,1023.2
,2021-06-28,9.2,21.4,0,,8.6,SE,33,14:14,14.5,69,1,SW,22,1027.3,19.7,47,3,SSE,19,1024.8
,2021-06-29,10.9,21.6,0,,7.0,SE,31,12:17,17.2,73,2,SSW,15,1028.6,20.6,59,3,SE,17,1026.1
,2021-06-30,12.9,21.4,2.0,,6.2,ESE,26,13:25,15.9,91,8,SSW,9,1028.1,20.3,66,3,SSE,11,1024.6