"Daily Weather Observations for Melbourne Airport, Victoria for August 2021"
"Prepared at 13:01 UTC on Friday  8 April 2022   IDCJDW3049.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,6.0,14.8,16.2,6.8,9.0,WSW,35,12:05,9.4,82,1,NW,15,1010.9,14.4,45,3,W,24,1011.8
,2021-08-2,5.1,14.7,0,2.8,9.1,N,59,10:09,9.1,71,1,N,41,1016.1,14.0,51,3,NNE,31,1011.7
,2021-08-3,6.0,13.6,0.4,2.6,4.1,SW,56,15:49,9.5,79,2,N,17,1008.5,12.7,58,6,W,28,1008.2
,2021-08-4,5.7,14.1,1.8,1.8,3.4,WSW,44,11:59,9.5,82,7,W,20,1016.3,13.5,69,7,W,28,1016.1
,2021-08-5,6.3,15.5,0.8,1.6,3.9,W,43,13:17,10.3,86,7,WNW,15,1021.9,15.1,64,7,W,31,1020.5
,2021-08-6,8.5,13.9,0.2,2.2,0.6,WSW,37,10:26,11.5,76,7,W,15,1024.9,12.9,63,8,WNW,17,1023.5
,2021-08-7,7.9,14.8,0.2,1.6,2.4,WSW,37,16:19,9.9,78,7,NE,9,1027.2,12.7,76,7,WSW,20,1026.6
,2021-08-8,3.8,15.2,1.2,1.2,5.5,N,22,08:04,8.8,87,1,N,13,1032.5,14.2,59,7,SW,7,1029.6
,2021-08-9,6.3,15.2,0,2.8,2.7,N,41,12:12,10.5,74,7,N,19,1028.0,15.0,64,6,NNE,24,1023.7
,2021-08-10,4.9,17.8,0,2.4,8.1,NNE,81,22:56,11.6,80,6,NNE,37,1022.3,16.3,46,6,N,39,1018.0
,2021-08-11,10.8,17.9,0.2,7.0,3.6,NNE,72,01:45,12.4,58,5,NNE,37,1012.7,14.0,60,8,NW,41,1010.3
,2021-08-12,6.2,16.1,2.2,4.4,4.7,WNW,37,12:30,10.1,74,7,N,19,1025.5,15.0,52,7,WNW,20,1024.8
,2021-08-13,5.8,17.1,0,1.2,10.1,NW,48,11:04,10.6,76,1,N,28,1027.0,16.6,46,3,WNW,26,1025.6
,2021-08-14,5.1,17.4,0,3.4,7.8,WNW,37,14:13,9.3,83,1,N,26,1028.9,15.5,51,6,NW,24,1025.7
,2021-08-15,7.3,18.1,0,3.0,9.1,WNW,59,12:50,11.3,68,3,N,28,1024.6,17.8,36,2,NW,31,1019.9
,2021-08-16,9.2,14.4,0.2,6.6,2.8,WSW,61,14:02,10.7,76,7,W,28,1023.2,13.1,61,7,SW,37,1023.4
,2021-08-17,8.0,13.9,0.6,2.0,3.3,SW,39,10:59,10.5,86,7,WSW,20,1025.8,13.4,70,7,SSW,15,1024.8
,2021-08-18,4.2,15.3,0.4,1.8,1.8,N,30,13:37,9.1,81,7,NW,9,1026.3,15.1,58,7,N,20,1022.1
,2021-08-19,5.7,16.9,0,2.6,8.3,NNE,39,12:22,10.3,80,5,N,26,1023.3,16.4,53,2,NNE,30,1019.6
,2021-08-20,8.3,16.9,0.2,3.6,3.2,NNE,69,12:41,10.8,73,6,NNE,35,1016.7,16.2,56,3,N,43,1012.4
,2021-08-21,8.6,19.8,0,3.6,10.2,NNW,46,11:52,13.8,68,0,N,22,1015.7,18.8,46,4,NW,30,1014.5
,2021-08-22,9.0,21.4,0,4.0,10.6,N,83,23:54,13.0,70,1,N,28,1014.9,20.9,41,1,N,44,1008.4
,2021-08-23,9.6,14.4,0.4,7.0,5.4,N,81,00:07,10.1,75,3,W,15,1011.0,11.2,61,5,SSW,17,1012.5
,2021-08-24,4.7,12.0,6.6,4.0,6.2,S,54,11:13,8.3,83,7,SSW,17,1021.8,11.1,60,6,S,30,1021.5
,2021-08-25,5.4,12.6,1.6,1.2,5.4,S,46,12:40,10.4,87,3,SSW,17,1023.5,11.6,70,6,SSW,24,1022.2
,2021-08-26,3.3,12.3,0.4,2.4,1.0,SE,33,12:26,7.0,87,7,W,9,1022.9,11.5,61,7,S,22,1020.4
,2021-08-27,1.7,15.0,0,1.2,3.8,SSE,26,14:59,6.7,91,7,N,9,1020.0,13.7,60,7,SSE,19,1017.2
,2021-08-28,2.4,17.1,0,1.6,9.6,NNE,50,23:46,10.4,76,1,NNE,15,1018.3,16.5,42,3,NNE,31,1013.8
,2021-08-29,8.7,15.4,0.6,6.4,4.3,NNE,69,07:23,9.8,82,7,N,31,1011.5,13.5,59,7,WSW,24,1010.4
,2021-08-30,6.1,17.0,1.0,1.4,7.4,NNE,70,23:04,9.3,81,7,NNE,35,1016.4,16.4,50,1,N,37,1013.3
,2021-08-31,9.3,20.0,0,5.8,3.6,N,74,04:56,10.9,66,7,NNE,48,1016.1,19.8,43,6,N,52,1012.3